,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
65,1400000US32031002304,75,75,32,031,002304,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
66,1400000US32031002401,158,92,32,031,002401,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
67,1400000US32031002406,106,60,32,031,002406,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
68,1400000US32031002407,278,213,32,031,002407,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
69,1400000US32031002408,91,79,32,031,002408,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
70,1400000US32031002409,152,60,32,031,002409,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
71,1400000US32031002411,151,91,32,031,002411,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
72,1400000US32031002412,64,31,32,031,002412,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
73,1400000US32031002413,151,78,32,031,002413,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
74,1400000US32031002414,62,51,32,031,002414,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
75,1400000US32031002500,224,105,32,031,002500,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
76,1400000US32031002603,26,16,32,031,002603,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
77,1400000US32031002610,177,63,32,031,002610,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
78,1400000US32031002611,107,65,32,031,002611,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
79,1400000US32031002612,44,33,32,031,002612,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
80,1400000US32031002613,380,149,32,031,002613,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
81,1400000US32031002614,233,105,32,031,002614,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
82,1400000US32031002615,123,74,32,031,002615,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
83,1400000US32031002616,176,81,32,031,002616,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
84,1400000US32031002618,171,125,32,031,002618,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
